Sq[µm]

15.134
18.54
18.792
20.276
23.348
17.819
14.697
14.591
14.559
10.759
14.984
11.835
14.339
12.819
13.506
12.912
11.493
14.181
14.447
11.633
12.249
14.499
12.553
12.182
13.887
13.906
15.596
13.845
14.097
15.347
13.565
14.392
13.68
12.022
11.687
10.498
11.413
11.281
12.206
15.574
12.568
12.129
12.948
14.402
14.051
12.301
11.025
10.76
11.276
13.777
14.549
13.26
12.528
12.973
15.701
13.873
19.824
16.19
15.118
17.779
16.424
16.772
12.91
16.035
13.922
12.787
11.433
10.974
12.847
16.207
17.357
12.014
15.212
15.512
18.965
11.51
16.841
16.032
14.718
14.096
19.142
10.353
14.012
18.336
11.744
12.817
17.147
9.507
12.683
14.003
10.642
11.987
12.09
13.691
