Sq[µm]

10.274
9.496
8.354
8.406
9.327
9.102
9.199
11.136
9.582
11.468
9.909
10.546
10.382
8.058
9.537
10.055
8.964
10.11
9.255
10.459
11.811
8.927
11.275
9.44
9.584
9.602
14.199
10.63
9.192
8.493
9.636
10.811
13.161
9.181
12.02
13.73
11.186
12.874
10.643
11.216
10.115
11.458
11.532
12.562
12.432
10.22
10.488
13.445
13.872
9.578
8.812
11.604
9.927
10.758
10.596
10.407
11.047
8.855
11.563
10.213
10.368
9.402
10.758
8.127
11.912
11.381
10.95
9.46
11.156
13.307
9.659
12.719
11.306
10.934
10.523
11.17
11.435
12.512
9.952
9.813
8.52
10.455
11.601
11.642
17.502
11.628
11.541
9.545
12.962
12.125
12.9
12.763
12.369
15.347
11.438
8.846
11.627
11.988
11.296
9.212
9.751
10.42
